"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",0.00406226979797724,14,1,1,2732.85714285714,0.00206470495639885,9.47817570385774,9.48223797365571,16,"Go (16%)"
"HTML",2.34658687313704,2,1,0,71.5,0.825363420690138,3.84514301033838,6.19172988347542,10.5,"HTML (10.5%)"
"Shell",0.000131623708422146,4,0,0,2842.5,0.000676779804512412,5.63303269351935,5.63316431722777,9.5,"Shell (9.5%)"
"TeX",1.59060341473556,2,3,0,1929.5,0.464362355723146,3.84514301033838,5.43574642507395,9.2,"TeX (9.2%)"
"C",0.527183716183963,3,1,0,1773.33333333333,0.157154541273746,4.85203026391962,5.37921398010358,9.1,"C (9.1%)"
"Python",0.000708441172225276,3,5,2,2379.66666666667,0.0023737049945576,4.85203026391962,4.85273870509184,8.2,"Python (8.2%)"
"TypeScript",1.42196604189773,1,0,0,13,0.96501036346759,2.42601513195981,3.84798117385754,6.5,"TypeScript (6.5%)"
"Java",1.51897794032667e-06,2,5,2,3864,4.5321459811197e-05,3.84514301033838,3.84514452931632,6.5,"Java (6.5%)"
"Scala",7.24647892626519e-08,2,0,0,4270,8.33915536265481e-06,3.84514301033838,3.84514308280317,6.5,"Scala (6.5%)"
"EJS",0.998616750612249,1,0,0,99,0.762438921459952,2.42601513195981,3.42463188257206,5.8,"EJS (5.8%)"
"Swift",0.000112124044999537,1,0,0,2312,0.00177448227378335,2.42601513195981,2.42612725600481,4.1,"Swift (4.1%)"
"Assembly",0.000108052746529329,1,0,0,2321,0.00173126294709694,2.42601513195981,2.42612318470634,4.1,"Assembly (4.1%)"
"C++",5.91537341331731e-08,1,1,0,4170,1.09228073839466e-05,2.42601513195981,2.42601519111354,4.1,"C++ (4.1%)"
