"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",9.57719001124168,17,637,71,534.058823529412,0.353767252805668,10.1163011526366,19.6934911638783,18,"Go (18%)"
"Java",7.24110932200077,7,449,157,631.714285714286,0.474265995328588,7.27804539587942,14.5191547178802,13.3,"Java (13.3%)"
"Rust",7.90352066057912,5,32,1,15.4,0.959293737869862,6.27115814229819,14.1746788028773,12.9,"Rust (12.9%)"
"PHP",4.41864279566934,8,750,188,894.375,0.241051122257728,7.69028602067677,12.1089288163461,11.1,"PHP (11.1%)"
"JavaScript",4.00427223906251,6,554,119,487.333333333333,0.408602017097218,6.8106855216936,10.8149577607561,9.9,"JavaScript (9.9%)"
"HTML",2.62151158545242,2,3,1,76,0.824154962868497,3.84514301033838,6.4666545957908,5.9,"HTML (5.9%)"
"Shell",1.51556538827982,2,9,5,553,0.495190859609213,3.84514301033838,5.3607083986182,4.9,"Shell (4.9%)"
"Dockerfile",0.0803005008429585,3,9,6,1026,0.0601472892480633,4.85203026391962,4.93233076476258,4.5,"Dockerfile (4.5%)"
"R",1.63245484010515,1,1,1,11,0.970312604909096,2.42601513195981,4.05846997206496,3.7,"R (3.7%)"
"C++",0.0511599210707459,2,5,2,1026,0.0601472892480633,3.84514301033838,3.89630293140913,3.6,"C++ (3.6%)"
"TeX",0.879166071147171,1,0,0,130,0.700357483514656,2.42601513195981,3.30518120310698,3,"TeX (3%)"
"PowerShell",0.385302131644815,1,2,0,364,0.368888711982812,2.42601513195981,2.81131726360462,2.6,"PowerShell (2.6%)"
"C",0.0231491013586023,1,0,1,1026,0.0601472892480633,2.42601513195981,2.44916423331841,2.2,"C (2.2%)"
"CSS",0.0221266337710244,1,0,0,1026,0.0601472892480633,2.42601513195981,2.44814176573083,2.2,"CSS (2.2%)"
"Python",0.0119026416612624,1,5,0,1229,0.034488708869018,2.42601513195981,2.43791777362107,2.2,"Python (2.2%)"
