"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"Go",26.5660204446108,40,3368,178,822.075,0.364850715283546,12.9975022334651,39.5635226780759,35.7,"Go (35.7%)"
"Python",4.05950600260103,9,267,41,1012.88888888889,0.243097975555367,8.05904782547916,12.1185538280802,10.9,"Python (10.9%)"
"Shell",0.445377031373554,10,16,5,1365.2,0.0521652616603983,8.3926334547943,8.83801048616785,8,"Shell (8%)"
"HTML",1.83053003945554,3,14,3,1042.33333333333,0.339989698738313,4.85203026391962,6.68256030337516,6,"HTML (6%)"
"C",0.0359489534309457,4,10,5,1328.5,0.0290553123739657,5.63303269351935,5.6689816469503,5.1,"C (5.1%)"
"JavaScript",0.469129671759078,3,4,1,1065.66666666667,0.149690844336395,4.85203026391962,5.3211599356787,4.8,"JavaScript (4.8%)"
"Dockerfile",0.0193796369518617,3,4,2,1408,0.0232206988677295,4.85203026391962,4.87140990087148,4.4,"Dockerfile (4.4%)"
"Makefile",0.141892549723476,2,5,4,1145,0.0909284304047709,3.84514301033838,3.98703556006186,3.6,"Makefile (3.6%)"
"Java",0.00379805338999126,2,2,0,1645,0.0110331675057722,3.84514301033838,3.84894106372837,3.5,"Java (3.5%)"
"CoffeeScript",0.335068284780851,1,3,0,406,0.328792387933055,2.42601513195981,2.76108341674066,2.5,"CoffeeScript (2.5%)"
"TypeScript",0.0751453081343903,1,1,0,750,0.128119158727539,2.42601513195981,2.5011604400942,2.3,"TypeScript (2.3%)"
"CUE",0.014791346367998,1,0,0,1124,0.0459844467041272,2.42601513195981,2.44080647832781,2.2,"CUE (2.2%)"
"CSS",0.0108907829608678,1,1,0,1220,0.0353496865605362,2.42601513195981,2.43690591492068,2.2,"CSS (2.2%)"
"Ruby",0.0108907829608678,1,1,0,1220,0.0353496865605362,2.42601513195981,2.43690591492068,2.2,"Ruby (2.2%)"
"API Blueprint",0.00461361964791243,1,1,0,1429,0.0199391829014193,2.42601513195981,2.43062875160772,2.2,"API Blueprint (2.2%)"
"OpenSCAD",0.00189902669499563,1,1,0,1645,0.0110331675057722,2.42601513195981,2.4279141586548,2.2,"OpenSCAD (2.2%)"
"Puppet",0.00189902669499563,1,1,0,1645,0.0110331675057722,2.42601513195981,2.4279141586548,2.2,"Puppet (2.2%)"
