"language","total_score","repo_count","total_stars","total_forks","avg_days_since_update","avg_date_weight","repo_count_score","final_score","percentage","label"
"JavaScript",9.77045203056944,58,2148,250,2031.55172413793,0.0856280655000255,14.27138105367,24.0418330842395,34.8,"JavaScript (34.8%)"
"Shell",2.03390044783519,3,19,4,1636.33333333333,0.320444917103765,4.85203026391962,6.88593071175481,10,"Shell (10%)"
"HTML",0.0658402986261597,6,24,10,2557.5,0.016824549080335,6.8106855216936,6.87652582031976,10,"HTML (10%)"
"Ruby",1.7244033213268e-05,4,0,1,3394.5,0.000160446012448168,5.63303269351935,5.63304993755256,8.2,"Ruby (8.2%)"
"CSS",0.0808230912183038,3,14,2,2260,0.0380853913468853,4.85203026391962,4.93285335513792,7.1,"CSS (7.1%)"
"Vue",2.23392129822149,1,144,14,52,0.867217253004706,2.42601513195981,4.65993643018129,6.7,"Vue (6.7%)"
"C",0.0324626319700774,2,3,1,2563.5,0.0346840501065935,3.84514301033838,3.87760564230846,5.6,"C (5.6%)"
"Java",1.55704563656421e-05,2,0,0,3003,0.00028919781882663,3.84514301033838,3.84515858079475,5.6,"Java (5.6%)"
"Python",1.0362434373896,1,0,0,90,0.781472481255283,2.42601513195981,3.46225856934941,5,"Python (5%)"
"PHP",7.82853808447231e-07,1,0,1,3531,6.28994836886109e-05,2.42601513195981,2.42601591481362,3.5,"PHP (3.5%)"
"VimL",5.12699472111283e-07,1,0,0,3623,4.88856139870568e-05,2.42601513195981,2.42601564465928,3.5,"VimL (3.5%)"
